Game Number,Number of Moves,Score,Largest Tile,Sum of Tiles,Number of Merges,Losing Configuration,Seconds
1,2164,48280,4096,4820,2142,"1,5,12,1,2,4,7,8,1,2,6,7,2,1,4,6",0.004487
2,6804,164268,8192,14828,6735,"1,5,11,1,2,4,7,2,12,3,8,4,2,13,4,2",0.01055
3,7391,175916,8192,16194,7317,"2,3,2,1,3,2,6,2,5,6,7,9,13,12,11,10",0.010942
4,9421,251328,16384,20738,9326,"1,4,3,2,3,7,5,1,11,5,11,4,2,1,14,2",0.012707
5,7395,176276,8192,16190,7321,"2,10,3,1,4,2,11,2,1,9,8,12,2,4,13,1",0.009076
6,12536,333548,16384,27586,12410,"1,8,4,3,2,13,7,2,9,14,4,1,1,2,11,3",0.019868
7,3651,79444,4096,8030,3614,"1,12,2,1,9,8,4,2,2,11,2,4,3,10,1,5",0.00564
8,1888,36312,2048,4160,1869,"3,6,8,1,1,4,7,9,2,5,10,3,3,4,5,11",0.002704
9,5573,132732,8192,12274,5517,"4,3,2,1,10,11,5,3,9,7,13,4,8,2,4,3",0.007767
10,10409,276592,16384,22920,10304,"4,1,4,1,3,6,11,8,1,12,3,2,2,3,1,14",0.01409
11,6995,168216,8192,15356,6925,"3,12,13,2,8,4,7,4,2,6,1,11,1,2,9,2",0.009086
12,7508,177492,8192,16396,7432,"2,3,9,10,1,6,8,11,2,4,7,12,1,3,5,13",0.009357
13,12470,332820,16384,27482,12345,"1,14,3,1,5,13,4,11,3,8,2,9,2,3,1,2",0.015914
14,7344,176192,8192,16238,7270,"1,12,2,3,11,8,4,1,10,5,13,5,9,3,2,1",0.009105
15,6505,156896,8192,14290,6439,"2,3,5,13,1,4,7,12,2,3,8,10,1,2,9,1",0.007825
16,10166,269480,16384,22408,10064,"2,4,14,2,1,10,9,3,3,8,6,4,2,1,12,3",0.012307
17,2896,65596,4096,6436,2867,"11,7,2,3,3,6,3,2,1,4,5,3,2,1,12,2",0.003503
18,11424,309900,16384,25122,11309,"1,2,1,2,3,5,6,3,8,7,14,4,2,4,13,1",0.013827
19,7466,177320,8192,16390,7391,"2,1,9,10,1,4,8,11,2,5,7,12,3,1,6,13",0.008793
20,5565,132420,8192,12216,5509,"5,9,10,11,13,8,6,4,2,5,4,3,1,2,1,2",0.006826
21,5326,128372,8192,11696,5272,"3,1,2,1,2,5,11,13,8,6,3,4,1,10,5,1",0.00639
22,7077,169132,8192,15512,7006,"1,9,6,3,11,7,4,1,12,8,5,2,13,7,4,3",0.008468
23,5840,144320,8192,12862,5781,"1,3,12,13,3,8,7,6,1,6,4,3,3,2,1,2",0.006907
24,5567,132860,8192,12302,5511,"2,10,9,1,13,11,7,8,2,4,5,6,1,3,1,3",0.006525
25,9136,242916,16384,20130,9044,"2,1,4,7,1,4,6,11,4,5,7,14,3,8,10,1",0.011288
26,11644,313852,16384,25624,11527,"1,14,2,1,9,13,6,7,8,5,4,1,3,4,1,2",0.014338
27,3507,75532,4096,7716,3471,"1,4,3,1,6,5,9,12,11,8,7,5,1,9,2,1",0.004284
28,636,9892,512,1402,629,"1,2,6,2,2,4,3,9,1,2,7,2,3,7,9,1",0.000788
29,5614,132940,8192,12284,5557,"3,5,13,1,1,4,7,10,2,5,8,11,3,2,4,9",0.006681
30,2369,53504,4096,5196,2345,"12,2,1,2,10,1,4,1,3,4,1,2,1,2,3,1",0.002834
31,7290,175356,8192,16158,7217,"1,2,3,2,2,5,4,3,9,7,6,4,10,11,12,13",0.008493
32,6990,168196,8192,15356,6920,"1,2,4,2,2,8,12,1,4,7,11,13,2,6,9,3",0.008375
33,9207,243808,16384,20212,9114,"3,2,14,3,1,4,8,11,2,5,7,10,1,3,5,8",0.010936
34,10232,270124,16384,22488,10129,"1,2,10,1,8,4,12,4,1,7,5,14,2,9,3,1",0.012186
35,7022,168884,8192,15488,6951,"1,13,7,1,2,12,8,4,11,7,5,1,9,6,1,2",0.00841
36,6392,154084,8192,13970,6328,"3,6,7,1,2,5,8,10,1,4,7,12,3,13,3,1",0.007705
37,10607,279740,16384,23320,10500,"2,11,3,1,12,6,9,14,4,5,7,3,3,2,1,2",0.012687
38,6440,156124,8192,14166,6375,"1,3,1,3,4,8,9,1,1,13,12,10,2,3,5,1",0.007921
39,10043,266472,16384,22034,9942,"1,2,3,14,10,3,7,1,2,6,5,8,4,2,1,12",0.012208
40,10474,276920,16384,22950,10369,"12,1,2,1,11,3,4,3,8,6,5,4,1,2,14,3",0.012602
41,7404,177052,8192,16378,7329,"2,1,9,10,1,2,8,11,2,3,7,12,1,5,6,13",0.008692
42,3028,67384,4096,6670,2997,"1,2,3,2,2,3,5,3,7,8,6,12,2,1,11,1",0.003578
43,7315,175236,8192,16074,7241,"2,10,3,1,12,9,1,2,5,11,7,1,1,13,1,4",0.008666
44,10703,280904,16384,23450,10595,"5,1,2,1,11,12,4,3,2,14,8,6,1,4,9,2",0.013005
45,6526,157304,8192,14382,6460,"1,3,6,9,2,4,7,10,1,3,8,12,2,1,6,13",0.007817
46,5153,124052,8192,11296,5101,"6,3,2,1,8,4,3,2,9,7,4,13,11,5,2,1",0.006229
47,10941,286228,16384,24014,10831,"14,12,3,4,11,8,1,2,10,7,3,1,1,4,2,4",0.013306
48,11943,320852,16384,26358,11823,"2,4,13,1,3,7,9,14,1,2,3,10,2,1,2,6",0.014223
49,10745,283948,16384,23732,10637,"1,2,6,1,2,12,4,11,4,5,14,5,1,10,2,1",0.013061
50,7467,177200,8192,16364,7392,"10,11,12,13,9,8,7,5,3,4,5,3,2,1,2,1",0.008869
51,6981,168300,8192,15416,6911,"9,11,12,13,6,7,8,5,4,5,4,3,3,1,2,1",0.00957
52,7442,176928,8192,16344,7367,"3,4,2,1,6,5,6,3,13,8,9,4,1,12,11,10",0.010406
53,6877,166024,8192,15132,6808,"1,2,3,4,2,3,8,5,12,11,7,6,1,4,8,13",0.009635
54,10494,277752,16384,23142,10389,"1,6,5,2,14,8,4,1,11,7,5,2,12,6,1,3",0.013954
55,8887,239568,16384,19608,8798,"2,1,3,14,1,3,4,11,2,5,6,10,1,2,1,2",0.011368
56,5134,123972,8192,11292,5082,"2,4,8,2,3,9,7,4,2,11,6,2,1,13,5,1",0.006592
57,10626,280124,16384,23368,10519,"2,1,7,11,1,4,9,2,2,5,14,12,1,2,7,1",0.013315
58,11701,314452,16384,25712,11583,"13,5,3,2,14,9,4,1,7,8,5,2,1,2,3,7",0.014537
59,6197,151552,8192,13610,6135,"1,12,5,3,2,10,7,6,13,5,3,1,2,3,1,2",0.007691
60,1502,28280,2048,3304,1486,"7,6,3,2,8,7,4,1,9,6,5,2,11,5,2,1",0.001828
61,7002,168384,8192,15416,6931,"13,5,4,1,12,6,5,3,11,7,4,2,9,8,3,1",0.00829
62,10733,281472,16384,23548,10625,"1,6,4,1,2,12,8,3,11,2,4,7,2,14,9,2",0.013213
63,8913,239696,16384,19626,8823,"2,1,3,2,1,4,2,3,10,5,3,4,14,11,6,1",0.011097
64,4524,109936,8192,9934,4478,"2,1,3,6,1,3,7,8,2,5,6,10,1,13,4,7",0.005411
65,1615,30948,2048,3564,1598,"1,2,9,2,3,8,3,1,9,7,6,3,1,11,1,2",0.001941
66,7240,173336,8192,15878,7167,"2,5,1,11,1,4,8,12,10,6,7,2,2,13,2,1",0.008536
67,7403,176360,8192,16210,7328,"1,2,10,1,2,8,9,3,11,12,13,5,1,2,3,4",0.008713
68,7226,173288,8192,15886,7153,"1,4,5,13,3,2,6,12,1,3,7,11,2,1,8,10",0.008616
69,3233,71316,4096,7198,3200,"12,11,4,1,3,4,6,7,2,9,8,5,1,2,1,3",0.004002
70,7162,171980,8192,15712,7090,"1,6,11,1,3,7,10,4,4,5,6,13,1,12,4,1",0.008498
71,4257,105424,8192,9410,4214,"13,1,9,1,5,9,5,3,2,4,6,2,1,2,3,4",0.005171
72,7013,168340,8192,15376,6942,"4,3,2,1,2,13,6,12,1,5,7,11,2,3,8,9",0.008436
73,6825,166256,8192,15106,6756,"9,2,1,2,11,6,3,1,12,7,4,2,13,4,3,1",0.00813
74,10372,275804,16384,22842,10268,"2,1,3,2,1,5,12,5,4,14,6,2,11,4,7,1",0.012545
75,3711,80252,4096,8174,3673,"12,1,7,5,4,9,8,3,1,10,5,2,3,11,2,1",0.004481
76,6978,168200,8192,15374,6908,"2,3,9,1,1,2,8,11,3,4,7,12,1,5,6,13",0.008378
77,4791,117992,8192,10498,4743,"5,6,11,13,2,4,5,6,1,3,4,3,2,1,2,1",0.005661
78,7028,171020,8192,15578,6957,"1,12,11,3,2,4,13,2,1,10,7,5,3,1,2,3",0.00839
79,6159,151344,8192,13586,6097,"1,2,1,2,13,4,2,1,12,6,3,5,2,10,7,2",0.007384
80,9297,245908,16384,20448,9204,"14,11,10,9,4,5,7,8,2,3,4,3,1,2,1,2",0.011395
81,9156,242512,16384,20014,9064,"1,2,1,2,5,4,3,1,3,5,6,7,14,11,10,8",0.010945
82,7031,168408,8192,15370,6960,"1,6,9,1,2,13,7,2,5,4,8,11,3,12,2,1",0.008427
83,11144,290272,16384,24560,11032,"3,7,2,4,12,6,9,14,2,10,8,3,1,2,11,1",0.013832
84,6225,151888,8192,13682,6162,"1,7,4,2,6,10,5,6,1,5,13,2,4,2,12,1",0.00899
85,6784,164352,8192,14872,6716,"2,3,7,2,12,13,8,6,3,5,4,3,1,2,11,1",0.009086
86,10960,287824,16384,24222,10850,"11,14,3,1,10,9,4,2,1,5,1,6,3,12,4,2",0.013947
87,3535,77368,4096,7828,3499,"1,2,10,8,3,5,3,2,6,8,2,1,2,11,4,12",0.004561
88,5171,124184,8192,11312,5119,"1,5,9,1,2,8,6,2,11,7,4,1,1,13,5,4",0.006494
89,7399,177036,8192,16382,7325,"10,9,3,1,11,8,6,2,12,7,5,1,2,13,1,3",0.009145
90,9353,250668,16384,20648,9259,"1,2,11,2,2,4,14,5,4,6,11,3,2,3,2,1",0.01183
91,6723,163780,8192,14796,6655,"2,4,6,1,11,12,13,5,2,8,1,6,1,3,2,1",0.008268
92,7078,169304,8192,15550,7007,"13,12,11,9,7,8,7,6,1,4,6,5,2,1,2,1",0.008709
93,1793,35012,2048,3984,1775,"11,5,3,2,2,10,4,1,1,9,7,5,7,5,3,2",0.002228
94,10263,270948,16384,22672,10160,"3,1,2,3,7,4,5,6,12,9,7,3,1,10,8,14",0.012659
95,1717,33108,2048,3784,1699,"7,8,10,11,5,7,6,5,3,4,5,2,2,1,2,1",0.002084
96,7447,177372,8192,16422,7372,"13,12,11,1,6,7,8,10,3,6,4,9,2,1,2,1",0.00916
97,6265,152988,8192,13812,6202,"1,6,10,1,8,7,3,2,12,3,4,1,13,2,1,2",0.007927
98,3709,80368,4096,8202,3671,"3,1,9,2,1,5,8,10,2,6,4,11,1,7,2,12",0.004551
99,10864,285596,16384,23944,10755,"1,3,2,1,4,6,10,2,1,4,11,14,8,12,4,1",0.01334
100,10423,276520,16384,22890,10318,"2,3,11,8,3,4,1,14,2,12,5,1,1,2,3,4",0.013006